epoch,step,train_loss,val_auroc,val_average_precision,val_f1,val_loss,val_precision,val_recall
0,175,,0.9198682308197021,0.2841752767562866,0.0,0.42293286323547363,0.0,0.0
0,175,0.6368594765663147,,,,,,
1,351,,0.922788679599762,0.2862924337387085,0.0,0.3422607481479645,0.0,0.0
1,351,0.41358184814453125,,,,,,
2,527,,0.9238311052322388,0.2815805673599243,0.0,0.3086718022823334,0.0,0.0
2,527,0.35845088958740234,,,,,,
3,703,,0.9255926609039307,0.27733519673347473,0.0,0.3033965826034546,0.0,0.0
3,703,0.3393130600452423,,,,,,
4,879,,0.9285936951637268,0.28705278038978577,0.0,0.2985229194164276,0.0,0.0
4,879,0.3298869729042053,,,,,,
5,1055,,0.9300300478935242,0.2974204123020172,0.0,0.298671156167984,0.0,0.0
5,1055,0.32853811979293823,,,,,,
6,1231,,0.9332461357116699,0.3113916218280792,0.008849558420479298,0.29412588477134705,0.3333333432674408,0.0044843051582574844
6,1231,0.3210902512073517,,,,,,
7,1407,,0.9320360422134399,0.3043786585330963,0.0,0.2939964830875397,0.0,0.0
7,1407,0.3154665231704712,,,,,,
