epoch,step,train_loss,val_accuracy_optimized,val_auroc,val_average_precision,val_balanced_accuracy_optimized,val_best_threshold,val_f1_optimized,val_f1_threshold_05,val_false_negatives,val_false_positives,val_loss,val_precision_optimized,val_recall_optimized,val_specificity_optimized,val_true_negatives,val_true_positives
0,186,,0.9246000051498413,0.9302308559417725,0.3114034831523895,0.7745789289474487,0.5199999809265137,0.41910630464553833,0.4137931168079376,87.0,290.0,0.2947518527507782,0.31924882531166077,0.6098654866218567,0.9392924308776855,4487.0,136.0
0,186,0.46986010670661926,,,,,,,,,,,,,,,
1,373,,0.9300000071525574,0.9310297966003418,0.2935601770877838,0.7795424461364746,0.5250000357627869,0.4391025900840759,0.43465492129325867,86.0,264.0,0.17613166570663452,0.34164589643478394,0.6143497824668884,0.9447351694107056,4513.0,137.0
1,373,0.25774946808815,,,,,,,,,,,,,,,
2,560,,0.9246000051498413,0.9309433102607727,0.2768205404281616,0.8023662567138672,0.5300000309944153,0.44148147106170654,0.4233378469944,74.0,303.0,0.15838409960269928,0.3296460211277008,0.6681614518165588,0.9365710616111755,4474.0,149.0
2,560,0.21515752375125885,,,,,,,,,,,,,,,
3,747,,0.9196000099182129,0.9283628463745117,0.2722080647945404,0.8061619997024536,0.5,0.43059489130973816,0.43059489130973816,71.0,331.0,0.1462240070104599,0.31469979882240295,0.681614339351654,0.9307096600532532,4446.0,152.0
3,747,0.2048427164554596,,,,,,,,,,,,,,,
4,934,,0.9193999767303467,0.9291129112243652,0.2704935073852539,0.806057333946228,0.47999998927116394,0.4299858510494232,0.4205882251262665,71.0,332.0,0.141168475151062,0.3140496015548706,0.681614339351654,0.930500328540802,4445.0,152.0
4,934,0.1986551582813263,,,,,,,,,,,,,,,
5,1121,,0.9178000092506409,0.9292715191841125,0.27297550439834595,0.8052200078964233,0.4749999940395355,0.4251748025417328,0.41853511333465576,71.0,340.0,0.13957315683364868,0.30894309282302856,0.681614339351654,0.9288256168365479,4437.0,152.0
5,1121,0.19565418362617493,,,,,,,,,,,,,,,
6,1308,,0.9211999773979187,0.932482898235321,0.2892224192619324,0.8112742900848389,0.4699999988079071,0.43874645233154297,0.43358778953552246,69.0,325.0,0.13536983728408813,0.3215031325817108,0.6905829310417175,0.9319656491279602,4452.0,154.0
6,1308,0.1924848109483719,,,,,,,,,,,,,,,
7,1495,,0.9246000051498413,0.9340431094169617,0.30045196413993835,0.7916788458824158,0.5149999856948853,0.4330827295780182,0.4275466203689575,79.0,298.0,0.14161880314350128,0.3257918655872345,0.6457399129867554,0.9376177787780762,4479.0,144.0
7,1495,0.18993979692459106,,,,,,,,,,,,,,,
8,1682,,0.9247999787330627,0.9340139627456665,0.3057187795639038,0.7939209938049316,0.47999998927116394,0.4354354441165924,0.42628204822540283,78.0,298.0,0.13445071876049042,0.32731378078460693,0.6502242088317871,0.9376177787780762,4479.0,145.0
8,1682,0.18903188407421112,,,,,,,,,,,,,,,
9,1869,,0.9215999841690063,0.934384822845459,0.29181259870529175,0.8072086572647095,0.4949999749660492,0.436781644821167,0.43465492129325867,71.0,321.0,0.13736842572689056,0.32135307788848877,0.681614339351654,0.9328030347824097,4456.0,152.0
9,1869,0.1873641312122345,,,,,,,,,,,,,,,
10,2056,,0.9225999712944031,0.9356136322021484,0.32000210881233215,0.8034570217132568,0.4749999940395355,0.43668124079704285,0.4246353209018707,73.0,314.0,0.13478712737560272,0.3232758641242981,0.6726457476615906,0.9342683553695679,4463.0,150.0
10,2056,0.18766021728515625,,,,,,,,,,,,,,,
11,2243,,0.9315999746322632,0.9359055757522583,0.32509011030197144,0.7718298435211182,0.48499998450279236,0.4374999701976776,0.4139194190502167,90.0,252.0,0.13249310851097107,0.34545454382896423,0.5964125394821167,0.9472472071647644,4525.0,133.0
11,2243,0.18616943061351776,,,,,,,,,,,,,,,
12,2430,,0.9359999895095825,0.9353854060173035,0.3157302141189575,0.7548952102661133,0.5149999856948853,0.43661972880363464,0.4326923191547394,99.0,221.0,0.13688217103481293,0.3594202995300293,0.5560538172721863,0.9537366628646851,4556.0,124.0
12,2430,0.18571309745311737,,,,,,,,,,,,,,,
