n_hidden,n_neurons,total_params,trainable_params,val_loss,val_auroc,val_f1
1,32,2273,2273,0.5306822657585144,0.9362688064575195,0.3319903314113617
2,16,1153,1153,0.5344081521034241,0.9354492425918579,0.3269537389278412
3,32,4385,4385,0.5351861715316772,0.9353479146957397,0.3262745141983032
0,32,1217,1217,0.5430827140808105,0.9353103637695312,0.341994971036911
3,16,1425,1425,0.5324191451072693,0.9352343082427979,0.32833465933799744
0,64,2433,2433,0.5437586903572083,0.9349057674407959,0.3383333384990692
0,16,609,609,0.5513876676559448,0.9340036511421204,0.33500000834465027
4,16,1697,1697,0.541164755821228,0.9338093400001526,0.3177570104598999
0,128,4865,4865,0.5470060110092163,0.9337032437324524,0.3397813141345978
1,16,881,881,0.5418654084205627,0.9336704015731812,0.32715553045272827
2,32,3329,3329,0.5487961769104004,0.9331926107406616,0.3303787410259247
1,64,6593,6593,0.5518192052841187,0.932619035243988,0.32679739594459534
0,256,9729,9729,0.5527305006980896,0.9324725866317749,0.3413379192352295
4,32,5441,5441,0.561625599861145,0.9320013523101807,0.32341110706329346
3,64,14913,14913,0.6306830048561096,0.9310044050216675,0.31753554940223694
4,64,19073,19073,0.6599607467651367,0.9305199980735779,0.31748589873313904
1,128,21377,21377,0.5722751617431641,0.9301022887229919,0.3319292366504669
2,64,10753,10753,0.6137313842773438,0.9274775981903076,0.323699414730072
1,256,75521,75521,0.6845128536224365,0.9245712757110596,0.3470483124256134
2,128,37889,37889,0.8115662336349487,0.92453932762146,0.3327586352825165
3,128,54401,54401,1.077223777770996,0.9206492900848389,0.3356890380382538
4,128,70913,70913,1.2679084539413452,0.9197378158569336,0.3339100480079651
2,256,141313,141313,1.1451176404953003,0.9167413711547852,0.34981685876846313
3,256,207105,207105,1.6572394371032715,0.9122768044471741,0.3442469537258148
4,256,272897,272897,2.331638813018799,0.910683810710907,0.35080644488334656
